날짜,기사제목
 2023.06.01 16:30,"기아, 5월 글로벌 판매 26만8593대..전년 比 14.4% ↑"
 2023.06.01 16:20,"[5월 완성차 실적] 기아, 글로벌서 26만8593대 판매…반도체 수..."
 2023.06.01 16:09,"스포티지·셀토스 초인기…기아, 5월 판매 전년比 14.4%↑"
 2023.06.01 16:52,"현대차·기아, 61년만에 누적판매 1억5000만대 대기록 달성"
 2023.06.01 16:37,"현대차·기아, 5월도 쾌속질주…누적판매 1억5000만대 대기록"
 2023.06.01 16:09,"현대차·기아, 61년만에 누적판매 1억5천만대 돌파"
 2023.06.01 16:05,"기아, 5월 26만8600여대 판매...""전달 比3.5% 상승"""
 2023.06.01 13:32,中서 첫 테잎 끊는 기아 ‘EV5’…‘셀토스 성공신화’ 다시 쓸까 [비...
 2023.06.01 10:50,"WSJ ""美서 기아 400만대 차량에 리콜 대상 에어백 장착"""
 2023.06.01 08:38,"""리콜 대상 美 에어백 장착 기아차 400만대 추산"""
 2023.06.01 04:48,"WSJ ""리콜대상 에어백 장착 기아차, 미국서 400만대 추산"""
 2023.06.01 02:15,"WSJ ""리콜 촉구된 美 에어백 장착한 기아 자동차 400만대 추산"""
 2023.06.01 09:21,"[특징주]기아, 노조 부분파업 생산 차질에 2%대↓"
 2023.06.01 05:27,"진격의 현대차·기아, 하반기 11종 '물량공세'…수입차도 몰려온다"
 2023.05.31 19:08,"“차에서 OTT 본다”…현대차·기아, 대규모 내비 업데이트"
 2023.05.31 10:10,"""차에서 OTT 보자""…현대차·기아, 인포테이션 업데이트"
 2023.05.31 09:32,"현대차·기아, 차 안에서 왓챠·웨이브 본다"
 2023.05.31 09:06,현대차·기아 차 안에서 왓챠·웨이브·팟빵 감상한다
 2023.05.31 08:54,"현대자동차·기아, 차에서 동영상 스트리밍 서비스 제공"
 2023.05.31 17:41,[유가증권시장 공시] 기아 / 넥센
 2023.05.31 17:31,"""기아·현대제철 공장 일시중단""…금속노조 총파업에 곳곳 생산 차질"
 2023.05.31 17:27,"기아, 광명2공장 가동 연말까지 중단…""전기차 공장 전환공사"""
 2023.05.31 15:49,"기아, 내달부터 7개월간 광명2공장 전면 가동 중단"
 2023.05.31 08:01,"기아, 광명2공장 전기차 전환 스타트…""연내 완공 목표"""
 2023.05.31 16:19,"기아, 전국 사업장 생산중단...“전차종 생산차질”"
 2023.05.31 16:14,"현대차·기아, SW 업그레이드 후에도 美서 도난 사건 지속"
 2023.05.31 11:27,"'세번이나 털렸다'…현대·기아차, 美 리콜 요구 커지나"
 2023.05.31 01:41,현대차·기아 업데이트 이후에도 미국서 도난사건 이어져
 2023.05.31 16:00,"""현대차·기아, 전동화 전환 기술은 우수…비전은 강화해야"""
 2023.05.31 14:17,"""폰 연결 없어도 OK""…웨이브, 현대차·기아·제네시스와 '시네마' 기..."
 2023.05.31 14:11,[주가동향] 자동차 판매 호조로 외국인 '자동차주' 매수 급증... 현...
 2023.05.31 08:44,"기아, 전기차 비중 확대로 '깜짝 실적' 이어간다…'매수' 의견-SK"
 2023.05.31 08:05,"기아, 매분기 호실적으로 계단식 주가 상승…목표가 13만원-SK"
 2023.05.31 11:21,기아 ‘니로 플러스’ 택시·법인 맞춤 전략 통했다
 2023.05.31 10:38,"현대차·기아 車안에서 왓챠·웨이브 본다…""스트리밍 서비스 시작"""
 2023.05.31 09:39,"차에서 왓챠·웨이브 본다…현대차·기아 대규모 업데이트, 대상은?"
 2023.05.31 09:46,"기아, ‘봉고 LPI’ 위해 설비공사 돌입…LPG 상용차 시장 부활 이..."
 2023.05.31 08:44,'중고차 시장이 들썩인다'...7~8월 현대차·기아 본격 진출
 2023.05.30 23:32,"“현대차·기아車만 턴다” 美 도둑질 챌린지 여전, 왜?"
 2023.05.30 23:24,"""현대차·기아, 업그레이드 후에도 미국서 계속 도난 사건"""
 2023.05.30 18:24,"외국인 몰리는 현대차·기아, 2차 랠리 시동거나"
 2023.05.30 16:53,"기아, 유럽향 EV9 공개...현지 전동화 전환 박차"
 2023.05.30 15:57,"기아, EV9 첫 공개…""2030년 유럽서 전기차 51만5000대 판..."
 2023.05.30 15:56,"""유럽EV시장 공략"" 기아, 獨서 유럽향 EV9 실물 첫 공개"
 2023.05.30 15:01,"기아, EV9 유럽 모델 공개…중장기 전동화 '박차'"
 2023.05.30 15:01,"기아, 유럽향 EV9 공개 … 전동화 전환 박차"
 2023.05.30 15:00,"""한국차와 또 다른 모습""…기아 'EV9' 유럽모델 공개"
 2023.05.30 15:00,"기아, 유럽맞춤형 EV9 첫 공개…현지시장서 전동화 전환 박차"
 2023.05.30 15:42,"기아, EV9 유럽모델 공개"
 2023.05.30 15:38,"기아, 유럽향 EV9 공개"
 2023.05.30 15:23,"기아, 독일서 개최한 '기아 브랜드 써밋' 통해 EV9 처음 공개"
 2023.05.30 15:23,기아 브랜드 써밋 환영사하는 정원정 본부장
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:09,"기아, 유럽향 EV9 공개"
 2023.05.30 15:22,독일에서 개최한 '기아 브랜드 써밋' 행사
 2023.05.30 15:20,유럽 상륙한 ‘기아 EV9’…색상도 전면 디자인도 국내와 다르다?
 2023.05.30 15:10,"기아, 독일서 EV9 실물 공개…“2030년 유럽서 전기차 51만대 ..."
 2023.05.30 15:06,"기아, 유럽에 EV9 공개…테슬라 잡으러 간다"
 2023.05.30 15:02,국내 사전계약 1만대 '기아 EV9' 유럽 간다…현지 공략 박차
 2023.05.30 15:01,"기아, 유럽향 EV9 공개..전기차 시장 공략 가속화"
 2023.05.30 15:00,"기아, EV9 유럽모델 공개…""유럽 짜릿하게 할 최첨단 전기차"""
 2023.05.30 14:12,"기아 노조, 특근 중단…""사측 신규 채용 왜 안하냐"""
 2023.05.30 11:13,"대유에이피, 현대차·기아 전기차 스티어링휠 수주"
 2023.05.29 16:26,"현대차·기아, 협력사 5.2조 지원…부품 경쟁력 강화"
 2023.05.29 09:45,"현대차는 일본, 기아는 인도…해외연수 떠나는 노조"
 2023.05.28 10:11,"기아, 쏘렌토·카니발 풀체인지급 변화 예고…하반기 라인업 빵빵하네"
 2023.05.28 10:06,"기아, 임직원 가족 초청해 야구 직관 '웰커밍 데이' 연다"
 2023.05.28 09:40,"기아, 임직원 가족 초청 ‘기아타이거즈’ 경기 직관 이벤트 펼쳐"
 2023.05.27 11:45,"""여자가 따라주는 술 아니면 안 마셔""…영양사 '접대부 취급' 기아차 ..."
 2023.05.27 09:31,[유안타證 주간추천주]삼성전자·기아·유한양행
 2023.05.27 09:01,다시 꿈틀거리는 中 '한한령'…현대차·기아 예의 주시
 2023.05.27 08:32,"기아 1호 PBV ‘니로 플러스’, 택시·법인 대상 ‘맞춤전략’ 通했다"
 2023.05.26 15:34,"""형보다 나은 동생""…기아, 현대차 판매량 앞섰다"
 2023.05.26 06:02,"현대차·기아, ‘미닫이·여닫이 가능’ 트럭 도어 개발"
 2023.05.25 18:06,"삼성전자 브랜드 파워 '102조', 현대차·기아차·네이버 순"
 2023.05.25 17:15,"""기아차 어려웠을 때""..'중꺾마' 질문에 정 회장이 내놓은 답"
 2023.05.25 15:41,"정의선 회장 ""기아 어려울 때 돈꾸러 다니며 '중꺾마' 느꼈다"""
 2023.05.25 17:12,대유플러스 “기아 봉고3 LPG 저장용기 공급 수량·금액 논의 단계”
 2023.05.25 17:06,"대유플러스, 기아 봉고3에 'LPDi 차량용 환형 용기' 공급"
 2023.05.25 10:51,기아 봉고3에 LPDi 차량용 환형 용기 공급 계약 체결한 '이 기업...
 2023.05.25 08:16,"대유플러스, 기아 봉고3에 LPDi 차량용 환형 용기 공급 계약 체결"
 2023.05.25 08:11,"대유플러스, 기아 봉고3에 LPG 저장용기 공급…975억원 규모"
 2023.05.25 16:49,MZ세대 만난 정의선… “기아차 어려웠을 때 중꺾마 느꼈다”
 2023.05.25 15:57,“완전 갓의선” 현대차 회장에 MZ 환호…정의선 “가장 큰 도전은 기...
 2023.05.25 15:59,"""기아 망하기 직전, 돈 많이 꿨다""…정의선의 '중꺽마'"
 2023.05.25 15:52,"정의선의 갓생은…""기아 힘들 때 '중꺾마'로 살려내"""
 2023.05.25 15:34,"정의선 회장, 햄버거 먹으며 ""2005년 기아 인수 당시에…"""
 2023.05.25 15:17,"[단독] 기아 이어 현대차, PBV 사업 뛰어든다 [최종근의 FN 모빌..."
 2023.05.25 10:16,'쿠팡플렉스' 지원만해도 응모된다…쿠팡 '기아 레이' 경품 내걸어
 2023.05.25 07:45,"현대캐피탈, '더 기아EV9' 자동차리스·장기렌터카 온라인 사전예약"
 2023.05.25 07:39,"'더 기아 EV9' 열풍, 이제 자동차리스?장기렌터카가 잇는다"
 2023.05.24 18:21,"기아, 직원에 ""中 대신 인도 배워라""… 3년만에 바뀐 위상"
 2023.05.24 09:58,"기아 생산직, 중국 대신 인도로 연수간다...왜? [최종근의 FN 모..."
 2023.05.24 09:08,기아 직원들이 ‘車 시장 3위’ 인도로 간 까닭은? [비즈360]
 2023.05.24 14:10,현대차·기아 'AI 경진대회' 개최…채용 등 추가 혜택
 2023.05.24 08:57,"현대차기아, AI 경진대회 개최…실무경험경력개발 ‘두 토끼’"
 2023.05.24 14:09,"현대차·기아, 서울대 등 11개 대학과 전기차 공동연구한다"
 2023.05.24 11:18,"현대차·기아, 11개 대학과 ‘전동화 공동연구실’"
 2023.05.24 09:11,"현대차·기아, 국내 11개 대학과 ‘전동화시스템 공동연구실’ 만든다"
 2023.05.24 08:58,"현대차·기아, 국내 최고 11개 대학과 손잡았다…""전동화 기술 선도"""
 2023.05.24 11:28,“기아 EV9 진짜 매력은 주행거리”
 2023.05.24 10:41,"삼성전자, 대기업 경영평가 4년째 1위…현대차·기아 2·3위"
 2023.05.24 09:18,"삼성전자, 경영 평가 4년 연속 최우수…현대차 2위, 기아 3위"
 2023.05.24 08:36,"삼성전자, 4년 연속 韓 최고 기업…현대차·기아는 2·3위 저력"
 2023.05.24 07:00,"삼성전자, 4년 연속 '경영평가 최우수 기업'…현대차 2위·기아 3위"
 2023.05.24 06:01,"삼성전자, 대기업 경영평가 4년 연속 1위…현대차·기아 2·3위"
 2023.05.24 10:24,"현대차·기아, 국내 11개 대학과 전기차 핵심기술 공동연구"
 2023.05.24 10:13,"현대차·기아, 11개 대학과 전기차 핵심기술 공동연구"
 2023.05.24 09:25,"현대차·기아, AI 경진대회…학생·임직원 한 팀으로 경쟁"
 2023.05.24 09:21,"인공지능 능력자 가린다…현대차·기아, 'AI 경진대회' 개최"
 2023.05.24 08:56,"현대차·기아, '2023 AI 경진대회' 개최...채용 혜택 등 제공"
 2023.05.24 09:14,"현대차·기아, 주요 대학과 전동화시스템 공동연구실 설립"
 2023.05.24 09:14,"현대차·기아, 전동화 연구 '드림팀' 떴다"
 2023.05.24 08:47,"현대차·기아, 주요 대학과 전동화시스템 공동연구실 설립"
 2023.05.24 08:47,"현대차·기아, 주요 대학과 전동화시스템 공동연구실 설립"
 2023.05.23 18:11,"""하이브리드카가 캐시카우""… 현대차·기아 1분기 44% 증산"
 2023.05.23 15:59,"'가성비甲' 하이브리드카 전성시대..현대차·기아, 40% 증산 나섰다"
 2023.05.23 16:40,"기아, 특수관계인으로부터 기타 유가증권 매수...‘300억 규모’"
 2023.06.01 04:48,"WSJ ""리콜대상 에어백 장착 기아차, 미국서 400만대 추산"""
 2023.06.01 02:15,"WSJ ""리콜 촉구된 美 에어백 장착한 기아 자동차 400만대 추산"""
 2023.05.31 19:08,"“차에서 OTT 본다”…현대차·기아, 대규모 내비 업데이트"
 2023.05.31 10:10,"""차에서 OTT 보자""…현대차·기아, 인포테이션 업데이트"
 2023.05.31 09:32,"현대차·기아, 차 안에서 왓챠·웨이브 본다"
 2023.05.31 09:06,현대차·기아 차 안에서 왓챠·웨이브·팟빵 감상한다
