날짜,기사제목
 2023.05.23 09:20,"[특징주]포스코퓨처엠, 5%대 강세…證 ""목표가 41만원"""
 2023.05.23 08:45,"포스코퓨처엠, 2분기 영업이익률 반등 기대 - SK"
 2023.05.23 08:35,"SK證 “포스코퓨처엠, 공급 계약 구조 변화로 유리해져…영업이익률 반..."
 2023.05.23 08:28,"""포스코퓨처엠, 안정적인 사업기틀 마련…목표가 41만원""-SK"
 2023.05.23 11:37,포스코퓨처엠 이차전지 전문인력 양성 협약
 2023.05.23 11:36,포스코퓨처엠 이차전지 전문인력 양성 협약
 2023.05.23 11:19,‘재반등 시작?’ 포스코퓨처엠 6%대 급등…테슬라發 훈풍에 2차전지株 ...
 2023.05.23 09:14,테슬라發 훈풍에 이차전지주 강세…포스코퓨처엠 3%대 상승
 2023.05.21 18:03,"""대형주 강세 온다""…포스코퓨처엠·LG전자 등 목표주가 줄상향"
 2023.05.10 11:40,"“착한 광물만 써요” 포스코퓨처엠, 원료 공급망 프로세스 공개"
 2023.05.10 11:35,"포스코퓨처엠, 2번째 책임광물보고서 발간"
 2023.05.10 09:37,"""원료 공급망 관리 철저""..포스코퓨처엠, 두번째 책임광물보고서 발간"
 2023.05.10 09:34,"포스코퓨처엠, 두 번째 책임광물보고서…“ESG 경영 관점서 공급망 구..."
 2023.05.10 09:10,"""착한 광물만 사다 씁니다"" 포스코퓨처엠의 두번째 약속"
 2023.05.10 09:02,"포스코퓨처엠, 두 번째 책임광물보고서 발간"
 2023.05.10 09:01,"포스코퓨처엠, 착한 공급망관리 담은 '책임광물보고서' 두번째 발간"
 2023.05.10 09:27,"포스코퓨처엠 ""인권침해 우려없는 광물만""…책임광물보고서 발간"
 2023.05.10 09:14,"포스코퓨처엠, 책임광물보고서 발간"
 2023.05.08 08:16,"유안타, 포스코퓨처엠 목표가↑…""양극재 수주·증설 기대"""
 2023.05.08 07:55,"포스코퓨처엠, 배터리 소재 밸류체인 완성中…목표가↑-유안타"
 2023.05.07 18:29,"개인은 사고, 외국인은 팔고… 포스코퓨처엠 맞대결 승자는"
 2023.05.07 09:07,코스피 주간 개인 순매수 1위 ‘포스코퓨처엠’
 2023.05.07 08:01,"개인 vs 외국인, 이번에는 '포스코퓨처엠'으로 붙었다"
 2023.05.07 17:16,中장악한 배터리 음극재 포스코퓨처엠 투자 확대
 2023.05.07 13:58,"배터리 ‘약한 고리’ 음극재, 포스코퓨처엠이 키운다"
 2023.05.07 09:07,코스피 주간 외국인 순매도 1위 ‘포스코퓨처엠’
 2023.05.04 11:11,[공시]포스코퓨처엠 “전구체·음극재 투자금액과 시기 논의 중”
 2023.05.04 10:56,포스코퓨처엠 “전구체·음극재 투자금액과 시기 논의 중”
 2023.05.04 10:07,"포스코퓨처엠, 포항 전구체 공장 설립 ""논의중"""
 2023.05.04 10:03,"포스코퓨처엠 ""전구체·음극재 투자금액과 시기 논의 중"" [주목 e공시..."
 2023.05.03 17:36,포스코퓨처엠 1.7조 투자…포항에 니켈·음극재 공장
 2023.05.03 13:56,"포스코퓨처엠, 포항에 전구체 공장…니켈·양극재까지 '밸류체인' 구축"
 2023.05.03 11:17,"포스코퓨처엠, 포항에 전구체·음극재 공장 짓는다...1.7조 투자"
 2023.05.03 11:16,‘철강도시 옛말’ 포항에 포스코퓨처엠 전구체·음극재 공장 들어선다
 2023.05.03 11:01,"포스코퓨처엠, 中 화유코발트와 전구체·음극재 공장 짓는다"
 2023.05.03 11:00,포스코퓨처엠 1.7조 전구체·음극재 투자 단행..포항클러스터 뜬다
 2023.05.03 11:00,"포스코퓨처엠, 1.7조 들여 포항에 전구체·음극재 공장 짓는다"
 2023.05.03 11:00,포스코퓨처엠 포항에 이차전지 소재 전구체·니켈 공장 건설
 2023.05.03 14:57,인사말 하는 김준형 포스코퓨처엠 대표
 2023.05.03 14:56,인사말 하는 김준형 포스코퓨처엠 대표
 2023.05.03 14:56,인사말 하는 김준형 포스코퓨처엠 대표
 2023.05.03 12:22,"포스코퓨처엠, 포항에 전구체·음극재 공장 건설…1조7000억 투자"
 2023.05.03 11:38,"포스코퓨처엠, 포항에 전구체·음극재공장 짓는다"
 2023.05.03 11:38,"포스코퓨처엠, 포항에 1.7兆 들여 전구체·음극재 공장"
 2023.05.03 11:18,"""벌써 70조 공급계약"", 포스코퓨처엠 공급량 확 늘린다"
 2023.05.03 11:02,"포스코퓨처엠, 포항에 1조7000억원 투자…전구체음극재 공장 짓는다"
 2023.05.03 11:00,"포스코퓨처엠, 배터리 소재 생산 확대…포항에 1조7000억 투자"
