날짜,기사제목
 2023.06.05 10:00,"LG전자, ‘RE100’ 동참"
 2023.06.05 10:00,"LG전자, 세계 환경의 날 맞아 플라스틱 절감 캠페인 영상 상영"
 2023.06.05 09:15,"LG전자, 새롭게 태어난 오브제컬렉션 ‘코드제로 A9S’ 무선 청소기…..."
 2023.06.05 07:01,"LG전자, 업계 첫 아트페어 '프리즈서울' 공식 헤드라인 파트너"
 2023.06.05 00:02,"시총 20조 탈환 LG전자…“B2B 회사로 전환, 재평가 필요”"
 2023.06.04 18:41,"""입사 보장·장학금 지원"" LG전자 AI인재 확보 총력"
 2023.06.04 17:11,LG전자가 만드는 집…'스마트코티지' 진짜 뜰까?
 2023.06.04 17:07,네덜란드 프리미엄 가구 브랜드 매장에 등장한 LG전자 '이 제품'의 정...
 2023.06.04 10:01,"LG전자, 유럽 가구매장 '모오이'서 프리미엄 TV 판매"
 2023.06.04 10:01,"LG전자, 네덜란드 프리미엄 가구 브랜드서 오브제컬렉션 판매"
 2023.06.04 16:22,"포스코, 탄소저감강재…LG전자 ‘건조기 부품’ 사용"
 2023.06.04 13:06,"포스코, 국내 첫 탄소저감 브랜드 출시…""LG전자 공급, 삼성도 검토..."
 2023.06.04 11:21,"""이 철강 쓰시면 탄소저감 인정""…포스코 신제품 첫 손님은 LG전자"
 2023.06.04 11:12,"포스코, 국내 최초 탄소저감 브랜드 제품 출시…첫 고객은 LG전자"
 2023.06.04 09:09,"포스코, ‘탄소 저감 브랜드 제품’ 출시…LG전자 첫 구매"
 2023.06.04 10:02,"‘전장’사업만 10조 가치?...LG전자, 시총 20조 돌파"
 2023.06.04 10:01,"LG전자, 가구보다 아름다운 '오브제컬렉션 포제' TV 출시"
 2023.06.04 09:13,"LG전자, 美 소비자지서 ‘에너지 효율 높은 냉장고’ 선정"
 2023.06.04 06:07,"LG전자, 美 컨슈머리포트 선정 '에너지효율 가장 높은 냉장고'"
 2023.06.02 20:48,"UNIST-LG전자, 산학협력센터 설립…공동 연구 박차"
 2023.06.02 18:55,"UNIST-LG전자, 산학협력 협약 체결"
 2023.06.02 18:48,"UNIST, LG전자와 협력 협약…산학협력센터 설립 합의"
 2023.06.02 18:22,‘건조기 과장광고’ 1심 일부 패소...LG전자 “재심 받아볼것”
